system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,tier0_urban,tier1_urban,tier2_urban,tier3_urban,tier4_urban,.geo
00004146ef2ba1a6e845,MWI,MWI.13_1,Malawi,Mangochi,Mangoche|Fort Johnston,195400.62571185204,90016.12149049314,69559.39711831612,47982.955163975384,36782.667504822406,
000098bed71063ea15b8,MWI,MWI.6_1,Malawi,Dedza,,389013.8785329862,37396.42227309266,16136.1710116484,13443.447103572757,11071.5587475726,
0000ef7f1453cbef9d16,MWI,MWI.26_1,Malawi,Salima,,119538.71859302593,45365.41722556416,33057.0969829286,32975.5644180614,4106.916605519635,
00001104aa1febc71333,MWI,MWI.20_1,Malawi,Nkhotakota,Kota Kota,53674.75452760072,19137.26626463092,22388.702262742245,22724.842234430398,3640.466344104585,
0000f38c27f2781dd849,MWI,MWI.10_1,Malawi,Likoma,,11948.368333456916,0.0,0.0,0.0,0.0,
00008d98321fac7d6dcf,MWI,MWI.19_1,Malawi,Nkhata Bay,Chinteche,25055.26808356843,4952.809037685821,8965.188880482394,6842.497889700009,154.54695571293587,
0000f477d2a3f5ad71e3,TZA,TZA.22_1,Tanzania,Ruvuma,,124332.2867750526,63113.50474449954,113212.81959361598,125225.62258122754,10336.118661917146,
0000758fb1e2f48996b8,MWI,MWI.25_1,Malawi,Rumphi,Rumpi,4084.889835099205,5365.555963613953,3192.4516235383117,17370.482991630688,0.0,
0000e37fd7379e45beaa,MWI,MWI.8_1,Malawi,Karonga,,100659.83349819356,25965.235490985928,11947.886312663977,27897.042305228555,4078.011802995683,
0000c76939d70f911562,MWI,MWI.5_1,Malawi,Chitipa,,1015.2132022098615,1953.5110385701541,12440.088150607839,12336.409197807425,0.0,
00000f523d03df8936f6,ZMB,ZMB.6_1,Zambia,Muchinga,,7045.25542333899,5400.405032281764,10458.473694700611,32745.056942540596,109129.48899938865,
0000145c09eca9c0a238,MWI,MWI.17_1,Malawi,Mzimba,,10546.246150997747,11648.740100754745,25026.942711007676,102342.1273710634,115178.06298524157,
00005a87e54782db1856,ZMB,ZMB.8_1,Zambia,Northern,,24378.636789834665,10814.813117920381,28981.956907095377,76632.00051542433,136314.5836450931,
0000efc9cf38b7aa79fa,TZA,TZA.21_1,Tanzania,Rukwa,,79110.26041767822,50053.89171311094,62015.996828736315,72257.313607484,7128.932009489984,
0000eed792bf6eb6a837,ZMB,ZMB.4_1,Zambia,Luapula,Fort Rosebery,50659.1279620479,50699.66844962567,59005.64542185056,75602.83126389087,94844.4122637201,
0000f180ef1da50693ca,COD,COD.3_1,Democratic Republic of the Congo,Haut-Katanga,,799131.8385218533,487855.4564357531,551604.4778985246,804480.7066839635,2139744.7262837724,
00004fe32905d1b0536a,ZMB,ZMB.1_1,Zambia,Central,Broken Hill,4559.746852206542,13282.6683099082,15874.304551170786,100130.96034139468,751249.701190766,
0000b1a0f0b1b0bffffb,ZMB,ZMB.2_1,Zambia,Copperbelt,Western,3217.265770490566,44804.527397313635,76453.08093050444,213621.5780242156,1571229.1618938474,
00008ef9f5da05059aaa,ZMB,ZMB.3_1,Zambia,Eastern,Fort Jameson,24294.4909207795,5750.679231373844,9423.564837481601,42496.218903144865,160707.55779009985,
0000b3c05fd6510b250f,MWI,MWI.14_1,Malawi,Mchinji,Fort Manning,42803.37794136793,20289.76448368206,19942.21944638935,26970.8011099653,9927.659220397509,
00007b9b0052d8a88398,MWI,MWI.9_1,Malawi,Kasungu,,9623.079400257513,16480.514323296746,20701.224852290194,22449.294487917516,21500.201617832994,
000079b1e3a786c27843,MWI,MWI.23_1,Malawi,Ntchisi,Nchisi,28393.730642089788,5724.489587969248,8817.782019985356,6613.515357900404,0.0,
000018ba8ffcf4b45315,MWI,MWI.7_1,Malawi,Dowa,,203602.66835692225,25198.79452196264,26485.932374510074,18424.17037181301,8318.032147321372,
00007fa24f9118843dc0,MWI,MWI.11_1,Malawi,Lilongwe,,647180.843374383,205405.32182969342,130628.25127292579,224612.22783698968,886214.2910152873,
0000a2a82e7e41a790b5,ZWE,ZWE.4_1,Zimbabwe,Mashonaland Central,,14236.926742400932,14217.39995797909,45286.81026116945,54400.348848932525,6201.243358731878,
00001271443b406041fe,ZWE,ZWE.3_1,Zimbabwe,Manicaland,,30633.464302928984,21216.89158588596,32364.678773890588,146604.54906794967,77729.48411350345,
00009f7d586960605ee1,ZWE,ZWE.7_1,Zimbabwe,Masvingo,,10560.444588053559,4713.103342370193,17879.43340884973,73417.77891360241,19478.150214903428,
00002a4df2c256fac746,ZWE,ZWE.5_1,Zimbabwe,Mashonaland East,,17802.261406493475,41978.05215254854,63944.38628046078,102861.55190598319,45563.71252874563,
