system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,sum,.geo
0000f8c9d84d25b54090,SHN,SHN.3_1,Saint Helena,Tristan da Cunha,TristÃ£o da Cunha,0.0,
0000b227cf6e6027fead,SHN,SHN.2_1,Saint Helena,Saint Helena,,392.0299650860768,
0000425a24df98abc728,SHN,SHN.1_1,Saint Helena,Ascension,AscensÃ£o,375.0232999775924,
0000a8f54daf9a729964,ESH,ESH.4_1,Western Sahara,Oued el Dahab,Ed Dakhla|Oued Eddahab,2617.8639799572675,
0000d317156b6f784739,ESH,ESH.1_1,Western Sahara,Boujdour,Bojador,4117.528544066818,
000091ca6c992b3e1c2d,MRT,MRT.12_1,Mauritania,Tiris Zemmour,,18785.735628008842,
00006f1c03981054c396,ESH,ESH.3_1,Western Sahara,Laayoune,El aaiÃºn,207007.09782730808,
00001668573b47a8d958,ESH,ESH.2_1,Western Sahara,Es Semara,Smara,7584.164984643459,
00001b116635795d76c7,MAR,MAR.6_1,Morocco,Guelmim - Es-Semara,,157847.90016061795,
0000abdb4116f29564f9,MAR,MAR.7_1,Morocco,LaÃ¢youne - Boujdour - Sakia El Hamra,,2591.0508308366234,
0000652dc562a34887d3,MAR,MAR.4_1,Morocco,Gharb - Chrarda - BÃ©ni Hssen,,633007.856308586,
00004938b3256d63ce7f,MAR,MAR.14_1,Morocco,Tanger - TÃ©touan,,585278.345674908,
0000c0944762609b6915,MAR,MAR.15_1,Morocco,Taza - Al Hoceima - Taounate,,541634.808873416,
0000aa73af7914844178,ESP,ESP.7_1,Spain,Ceuta y Melilla,,4278.305487916984,
00009e5e45df96a30c31,MAR,MAR.10_1,Morocco,Oriental,,762832.7637698188,
0000ef5e7eb6970c1d28,DZA,DZA.48_1,Algeria,Tlemcen,Tilimsene|Tlemsane|Tilimsen|TremecÃ©m,433640.18032157834,
0000ea67a1b3507c6e05,DZA,DZA.3_1,Algeria,AÃ¯n TÃ©mouchent,Ain Tamouchent,174513.97100408218,
00008aa0ec11f4fc2104,DZA,DZA.30_1,Algeria,Mostaganem,Mostaghanem|Mestghanem,388916.63312148146,
000051bbf06319774ff4,DZA,DZA.27_1,Algeria,Mascara,Mouaskar,344544.69558269193,
00005919d4077991ae9e,DZA,DZA.32_1,Algeria,Oran,OrÃ¡n|Orano|OrÃ£o|Ouahran|Ouahrane|Wahran,161341.87491361843,
0000989a3da7d2f3120e,DZA,DZA.38_1,Algeria,Sidi Bel AbbÃ¨s,Sidi-Bel-Abbes,318417.94521790533,
000067f888be35444821,DZA,DZA.36_1,Algeria,SaÃ¯da,,66902.84441790204,
0000c49864d7ec32e52f,DZA,DZA.17_1,Algeria,El Bayadh,El Bayad|El Beyyadh|GÃ©ryville,52288.112409326786,
0000ec4eb93ae14a530a,DZA,DZA.31_1,Algeria,NaÃ¢ma,Naama,115174.6091812315,
0000862acb383ef8dde0,DZA,DZA.7_1,Algeria,BÃ©char,Colomb-BÃ©char|Bechar,141295.2886708463,
0000f4cd148d34f8bc9e,DZA,DZA.1_1,Algeria,Adrar,DuperrÃ©,343294.31669707596,
000075d5221b5f06f09d,MAR,MAR.9_1,Morocco,MeknÃ¨s - Tafilalet,,601896.7089765525,
000039ec14680d41579b,DZA,DZA.44_1,Algeria,Tindouf,Tiaret,37413.071345582604,
000025bab4da20c10534,MAR,MAR.3_1,Morocco,FÃ¨s - Boulemane,,389956.72564454825,
0000a729f6df5f88baf2,MAR,MAR.11_1,Morocco,Rabat - SalÃ© - Zemmour - Zaer,,245395.81382230707,
0000f812f55fcc62db10,MAR,MAR.1_1,Morocco,Chaouia - Ouardigha,,718759.0767036567,
000072342323ae199fe8,MAR,MAR.13_1,Morocco,Tadla - Azilal,,908105.4257762758,
00008b899c1371d90055,MAR,MAR.12_1,Morocco,Souss - Massa - DraÃ¢,,1490219.8784422157,
0000c9f79b241823157f,MAR,MAR.8_1,Morocco,Marrakech - Tensift - Al Haouz,,1424527.1300149069,
00004e3193531c4657dd,MAR,MAR.5_1,Morocco,Grand Casablanca,,754819.50196042,
0000716943d026c6a28c,MAR,MAR.2_1,Morocco,Doukkala - Abda,,448407.93970607384,
0000c505d46fa3ffd8a0,MRT,MRT.1_1,Mauritania,Adrar,,10604.797900676727,
00007846c1adc2533a38,MRT,MRT.7_1,Mauritania,Hodh ech Chargui,Eastern Hodh|Hodh Charghi|Hodh Oriental,58250.826817929745,
00007963755b337d8340,MLI,MLI.9_1,Mali,Timbuktu,Timbouctou|Tombouctou|TimbuctÂ|Timbuctu|Tombuktu|TombuctÃº|Tomboucto,103561.01074928045,
00000cc9f86a5150fd8e,MLI,MLI.4_1,Mali,Kidal,,19338.22032573293,
0000cbe5ae5b7597717f,MLI,MLI.2_1,Mali,Gao,,28516.236060857773,
00001585d27a850541e6,BFA,BFA.12_1,Burkina Faso,Sahel,,219218.4789289236,
0000c770f163a3ab2a9e,MLI,MLI.6_1,Mali,Mopti,,301540.4817305467,
0000046e2cf5fd905b55,BFA,BFA.10_1,Burkina Faso,Nord,,24957.142647862434,
0000f2e9059432203744,BFA,BFA.4_1,Burkina Faso,Centre-Nord,,29785.368663072586,
0000b4e0282372ebaf08,BFA,BFA.8_1,Burkina Faso,Est,,115688.22382816895,
0000c9a94e51cd4db13e,BFA,BFA.11_1,Burkina Faso,Plateau-Central,,14269.037536195912,
00002cdc08b8bbaa4fba,BFA,BFA.3_1,Burkina Faso,Centre-Est,,62380.538958758705,
00003de32091289a3c2f,BFA,BFA.7_1,Burkina Faso,Centre,,65058.08975324093,
0000d565377a34d68200,BFA,BFA.6_1,Burkina Faso,Centre-Sud,,14029.60264365042,
000096cf0d6569f37a73,GHA,GHA.7_1,Ghana,Upper East,,288565.2668133866,
00004f4af390e756511e,TGO,TGO.5_1,Togo,Savanes,RÃ©gion des Savanes,146892.24231198244,
00004a18528299f30e7b,GHA,GHA.6_1,Ghana,Northern,,765432.1871578514,
0000f8925c5c9e5607e8,BFA,BFA.5_1,Burkina Faso,Centre-Ouest,,19143.692711284813,
0000febc2c03e8095cc1,GHA,GHA.8_1,Ghana,Upper West,,224934.09857918456,
0000f1464e81665a2322,BFA,BFA.1_1,Burkina Faso,Boucle du Mouhoun,,43725.57129425628,
00006d18bde90d5e3bf7,BFA,BFA.9_1,Burkina Faso,Haut-Bassins,,94776.67374110222,
0000d59a255e4eaba06b,BFA,BFA.13_1,Burkina Faso,Sud-Ouest,,31205.36555946224,
0000dc98ea3cd42597eb,BFA,BFA.2_1,Burkina Faso,Cascades,,18017.337085471903,
0000cd6763c3938e8104,MLI,MLI.8_1,Mali,Sikasso,,143131.10246602836,
0000354d7484d6713067,MLI,MLI.7_1,Mali,SÃ©gou,Segou,266730.3681075573,
0000a50735eb481f8af5,MLI,MLI.5_1,Mali,Koulikoro,,491222.9221280884,
0000b1b6c0305f4229d0,CIV,CIV.10_1,CÃ´te d'Ivoire,Savanes,,458150.95713024837,
000066dca0376bf6dc20,MLI,MLI.1_1,Mali,Bamako,,11422.70206610876,
000098dbce621d2ac3b1,MLI,MLI.3_1,Mali,Kayes,,235441.99051682785,
00004a31ab78db81c6cb,GIN,GIN.4_1,Guinea,Kankan,,79241.03919983073,
0000e6469980eacff98f,GIN,GIN.3_1,Guinea,Faranah,,1487.904180407524,
0000c5307888e2131c81,MRT,MRT.8_1,Mauritania,Hodh el Gharbi,Hodh Occidental|Western Hodh,18294.197956323624,
00005d7bcce6b53f4b93,MRT,MRT.2_1,Mauritania,Assaba,AÃ§aba|el-`AÃ§Ã¢ba,48242.2603352722,
0000316580ec4436d09e,MRT,MRT.11_1,Mauritania,Tagant,,13654.525474942198,
0000d6a4dcd131de9ae3,MRT,MRT.3_1,Mauritania,Brakna,,32749.596577417153,
0000473da798f9bf22a0,MRT,MRT.5_1,Mauritania,Gorgol,,52277.09434979406,
0000070ae703dd871c86,SEN,SEN.9_1,Senegal,Matam,,92145.49822827391,
0000f4afb55637b944c2,MRT,MRT.13_1,Mauritania,Trarza,,41750.533024423654,
00000a97e329c2941d51,MRT,MRT.9_1,Mauritania,Inchiri,,4424.838006079197,
0000bcf234cd9889cc82,SEN,SEN.10_1,Senegal,Saint-Louis,Fleuve|VallÃ©e du Fleuve,302572.42395226745,
00008631ba6de554c318,SEN,SEN.8_1,Senegal,Louga,,214848.94376163834,
0000df7f6d5b15f9a08d,MRT,MRT.10_1,Mauritania,Nouakchott,,89348.5981097261,
0000ffc9a295e5145dce,MRT,MRT.4_1,Mauritania,Dakhlet Nouadhibou,Dakhlet NouÃ¢dhibou|Baie du LÃ©vrier|LÃ©vrier Bay,5914.9147382659075,
00000bff205a417f3641,SEN,SEN.13_1,Senegal,ThiÃ¨s,,297241.23185374227,
0000d4c4e2b53225c3b7,SEN,SEN.1_1,Senegal,Dakar,Cap Vert|Dacar,33105.46015178514,
00001a20b679ae705ff1,SEN,SEN.2_1,Senegal,Diourbel,,90440.3395712191,
0000c9c06988cd757bb4,SEN,SEN.3_1,Senegal,Fatick,,51442.010922486406,
00009258428b84a4bbb3,GMB,GMB.4_1,Gambia,North Bank,,544.600147262274,
0000560729acf5d2db25,GMB,GMB.6_1,Gambia,Western,,13157.71753902669,
0000d8668f8188311ce7,GMB,GMB.1_1,Gambia,Banjul,,236.3992331308477,
0000c982ccb3ecd976f5,SEN,SEN.14_1,Senegal,Ziguinchor,,7772.168052380926,
0000ef2ad336db8398c5,GNB,GNB.5_1,Guinea-Bissau,Cacheu,,0.0,
