p25,p50,p75,ISO3
,,,CPV
0.7253777673005033,2.257081371415649,8.71226191293625,MRT
0.34975966295034194,0.8705407807077926,3.621363632162135,MLI
0.306635583854409,0.7066589105841755,2.2258428594070603,BFA
0.3170435367654966,0.7060286359161058,1.7267464607590757,TGO
0.31956423513892784,1.230326034259945,3.7447826167460123,GHA
0.7337566101403714,1.2345090186110923,3.738163823869043,CIV
0.33844443710653715,0.6079861618907298,2.121494248269619,GIN
0.45127809658448165,0.45127809658448165,2.458240911712073,SEN
0.2784068834344639,0.6546052656675636,2.4062499821186063,GMB
0.27861437769255315,0.6624000167846676,1.9862499952316284,GNB
0.30371027449402344,0.5549572682353939,1.4283333291610079,SLE
0.3047500594355166,0.5609385152115323,1.3143710716715404,LBR
0.3170543466183301,0.7085955198049225,1.2268045050554142,BEN
2.098688109642451,2.098688109642451,2.098688109642451,NGA
0.3092331926886931,0.7015743109148251,2.7489053160868764,CMR
0.8660444317719752,3.867352970908671,13.134000205993653,GNQ
,,,STP
1.1644020427923905,1.1644020427923905,5.902540348606863,GAB
1.4178710200901325,1.4178710200901325,9.974236055948671,COG
0.30834170980883135,0.6729765053546242,1.5583333591620125,CAF
0.4732474631195261,1.4251502938481306,5.458507064121188,COD
1.3805381189847505,1.3805381189847505,1.3805381189847505,TCD
0.6859302458304668,0.6859302458304668,2.8074520365033577,NER
0.30090075176100284,0.8187878738750107,2.414116702490089,ERI
0.31302542617458723,0.7133031931186992,3.236419098193836,ETH
,,,DJI
0.35540746659957867,1.117544099982575,3.372991405493747,SOM
0.3862088750398675,0.3862088750398675,0.3862088750398675,KEN
0.30522597501020293,0.7025277305847084,1.7394588304946847,UGA
0.3066286814957897,0.7066620555887763,1.7363294767419954,TZA
0.3211010503292554,1.2299546287654193,4.237300056584455,MOZ
,,,COM
0.31919781891104965,0.714435378963262,1.72367938720961,MDG
0.3499652350797963,0.6132683776614507,2.121942368389224,MWI
0.45867671434461105,1.4377868089719141,5.481628960714226,ZMB
0.35272253609032767,1.1237072557496335,3.3714536343051096,ZWE
0.3252647932463249,1.2297765538509686,3.7386605305241574,BWA
0.3111735955629084,0.7079675971131063,5.737075836426447,NAM
1.3018781960027115,1.3018781960027115,13.834754624551357,AGO
0.2778455270257433,0.5322957082642619,1.5244444264305959,BDI
0.304514308098568,0.7039876391397131,1.2210368581660491,RWA
1.123978487030034,1.123978487030034,5.710104842905329,ZAF
0.30377111265562884,0.5560291230951807,2.066465281076553,LSO
0.3439265587901738,0.3439265587901738,0.6006953545060475,SWZ
,,,REU
,,,MUS
,,,MYT
,,,SYC
