p25,p50,p75,ISO3
,,,CPV
0.308639547443525,0.7251956093772804,3.2208169278197394,MRT
0.34943285205546537,0.34943285205546537,0.8662004183130134,MLI
0.33977994812405227,0.33977994812405227,0.6058445575867187,BFA
0.2646586768916688,0.3907826094523726,0.607317512639598,TGO
0.3044280769200736,0.5587983109839595,1.0604929925033324,GHA
0.4323352098328363,0.8120580394038805,1.6905896734964054,CIV
0.22036848360647412,0.3336270592290041,0.3336270592290041,GIN
0.3504908984462644,0.3504908984462644,0.8636090557126251,SEN
0.23067841679378656,0.2973437549546361,0.41884616980185885,GMB
0.2371265245783257,0.2663908045812568,0.42583335638046266,GNB
0.21769147119675988,0.27883928396872093,0.5922222124205695,SLE
0.2304886198335063,0.2640935419231367,0.39129630150618366,LBR
0.27768082982459386,0.34286697050770604,0.5296861570975453,BEN
0.7518540867375707,0.7518540867375707,0.7518540867375707,NGA
0.3427212963588548,0.3427212963588548,0.6029555176133856,CMR
0.6234505441234259,2.6589473824752017,9.339375090599061,GNQ
,,,STP
0.8988986014300328,0.8988986014300328,0.8988986014300328,GAB
0.8324292374045132,0.8324292374045132,2.8090246173174904,COG
0.2201515112862443,0.39999999659402036,0.8999999284744261,CAF
0.4220129794648928,0.4220129794648928,0.4220129794648928,COD
0.845539176991607,0.845539176991607,0.845539176991607,TCD
0.6115429529226887,0.6115429529226887,0.6115429529226887,NER
0.43958333084980633,0.9249125332409085,2.3100775185695364,ERI
0.350642544867925,0.350642544867925,1.1148484901948412,ETH
,,,DJI
0.302662970773848,0.43371428932462414,0.9537124899036608,SOM
0.30174962249802856,0.30174962249802856,0.6821144374803855,KEN
0.22061356996205486,0.33991100462554985,0.6051658398620118,UGA
0.30275246711130377,0.30275246711130377,0.6985971310720616,TZA
0.35327055378090616,0.6121755540204796,1.3701012757960747,MOZ
,,,COM
0.2772800079969109,0.46493387757886834,0.8453841057952244,MDG
0.34303836139244714,0.34303836139244714,0.6124054621149433,MWI
0.31415093497810087,0.7040040411385479,1.2275339066058826,ZMB
0.34853351121295034,0.34853351121295034,0.8623027504123505,ZWE
0.35676231686539484,0.8619231729131503,1.8742886996594017,BWA
0.31111745064834706,0.704676008488917,1.7369319248874537,NAM
1.1836880538177308,1.1836880538177308,1.1836880538177308,AGO
0.24103448781473896,0.31900000572204595,0.47833330631256105,BDI
0.22042525641275523,0.30136415074540557,0.5605804623664883,RWA
0.9229190078334106,0.9229190078334106,0.9229190078334106,ZAF
0.30124549760479263,0.30124549760479263,0.6799456544544399,LSO
0.3022790050389922,0.3022790050389922,0.554418117663259,SWZ
,,,REU
,,,MUS
,,,MYT
,,,SYC
