system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,noacc14,noacc19,noacc18,noacc17,noacc16,noacc15
0000e2a2691bad497596,TCD,TCD.6_1,Chad,Ennedi Ouest,,70622.86896,81737.70115,14256.15962,14256.15962,14256.15962,14256.15962
0000616bfaf1685914e3,TCD,TCD.5_1,Chad,Ennedi Est,,101716.415,113470.884,26319.25344,26319.25344,26319.25344,26319.25344
000072b78f2a0fbc9dba,LBY,LBY.6_1,Libya,Al Kufrah,al-Kufra|Kufra|Kofra|Cufra,0,0,0,0,0,0
0000225b57fcce60d28e,TCD,TCD.21_1,Chad,Tibesti,,34692.56913,39761.00266,10.93107021,10.93107021,10.93107021,10.93107021
00004b1e7457bc4c7322,NER,NER.1_1,Niger,Agadez,Agad̬s,317466.614,382831.2829,2072.636995,2072.636995,2072.636995,2072.636995
0000ab8f0af795ee1bc1,DZA,DZA.41_1,Algeria,Tamanghasset,Tamanrasset|Tamenghasset|Tamenghest|Fort Laperrine,21.82731696,25.26606384,0,0,0,0
000079b624a9c01dd811,NER,NER.6_1,Niger,Tahoua,,3398709.315,3989266.692,167259.531,167259.531,167259.531,167259.531
000073023c8fcb4586e2,NER,NER.4_1,Niger,Maradi,,2944048.256,3527786.463,379887.5421,379887.5421,379887.5421,379887.5421
0000d86aa1085ab294b8,NGA,NGA.18_1,Nigeria,Jigawa,,3674173.596,3944434.675,663211.9714,663211.9714,663211.9714,663211.9714
0000723d38fb21273cc9,NGA,NGA.20_1,Nigeria,Kano,,4373557.769,4636547.711,2012426.111,2012426.111,2012426.111,2012426.111
0000610b5ea69a267710,NGA,NGA.21_1,Nigeria,Katsina,,3836163.231,4189775.722,1302002.008,1302002.008,1302002.008,1302002.008
0000d94d8a3f00e63790,NGA,NGA.34_1,Nigeria,Sokoto,,2369766.473,2590088.263,1259134.686,1259134.686,1259134.686,1259134.686
0000012b8844096096cb,NGA,NGA.37_1,Nigeria,Zamfara,,2533351.491,2808284.813,726612.4204,726612.4204,726612.4204,726612.4204
00008f769bcd71d9168b,NER,NER.7_1,Niger,Tillab̩ry,Tillab̩ri,2664454.875,3040374.189,122103.1506,122103.1506,122103.1506,122103.1506
0000ebf638a08a7e99f6,NER,NER.3_1,Niger,Dosso,,1868434.801,2213149.198,156435.894,156435.894,156435.894,156435.894
00004e20811d771dfc39,NER,NER.5_1,Niger,Niamey,,5199.679881,2069.757796,0,0,0,0
