system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,pop14,pop15,pop16,pop17,pop18,pop19,.geo
0000f2e9059432203744,BFA,BFA.4_1,Burkina Faso,Centre-Nord,,1243080.4552529843,1279598.9340143276,1316592.4129425515,1354330.6047846577,1392825.1957055905,1432413.9312355847,
0000b4e0282372ebaf08,BFA,BFA.8_1,Burkina Faso,Est,,1420737.3590687194,1462475.0777339493,1504755.6858642877,1547887.4461606918,1591883.7159879392,1637130.512895357,
0000c9a94e51cd4db13e,BFA,BFA.11_1,Burkina Faso,Plateau-Central,,687303.5901666634,707494.7865241537,727948.6121576065,748814.192201042,770097.9879763937,791986.7401846168,
00002cdc08b8bbaa4fba,BFA,BFA.3_1,Burkina Faso,Centre-Est,,1169199.3455013663,1203546.8464164706,1238341.0600777944,1273835.6807663634,1310041.701752401,1347276.8025414718,
00003de32091289a3c2f,BFA,BFA.7_1,Burkina Faso,Centre,,345521.7643747613,355672.2973998652,365954.8596070148,376444.419292794,387144.22469772317,398148.1542437663,
0000d565377a34d68200,BFA,BFA.6_1,Burkina Faso,Centre-Sud,,669981.9958500655,689664.045287731,709602.0913746206,729941.498517057,750688.5637315357,772025.3222222337,
000096cf0d6569f37a73,GHA,GHA.7_1,Ghana,Upper East,,796510.432759332,814503.9110473105,832538.8887659077,850757.439778214,869140.492630947,887920.7656126942,
00004f4af390e756511e,TGO,TGO.5_1,Togo,Savanes,R̩gion des Savanes,885146.3362326114,907971.6242322997,930639.4050529676,953505.3245011023,976613.05648035,1000280.7937978047,
00004a18528299f30e7b,GHA,GHA.6_1,Ghana,Northern,,2001339.3242858658,2046549.4551474021,2091863.833209251,2137639.4260719097,2183828.307301666,2231015.2121009612,
0000f8925c5c9e5607e8,BFA,BFA.5_1,Burkina Faso,Centre-Ouest,,1189017.4363811018,1223947.4250400334,1259331.7429689926,1295428.3707915898,1332248.4851090745,1370115.1432432868,
0000febc2c03e8095cc1,GHA,GHA.8_1,Ghana,Upper West,,636464.5199800904,650842.1752788216,665253.0037981037,679810.5155002512,694499.4652427938,709505.805711633,
0000f1464e81665a2322,BFA,BFA.1_1,Burkina Faso,Boucle du Mouhoun,,1420811.3612074552,1462551.0839147086,1504833.7668187707,1547967.6597597222,1591966.1149272462,1637215.1544375801,
