system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,tier0_national,tier1_national,tier2_national,tier3_national,tier4_national,.geo
00008ee1c94c90c48916,NGA,NGA.3_1,Nigeria,Akwa Ibom,,2182011.837931335,1307082.024209608,1288339.2552411144,660090.9427313843,443093.31416028365,
000025950f8a4f09b20e,NGA,NGA.4_1,Nigeria,Anambra,,614105.3498626037,707581.716872493,2078496.487717018,1844609.8883048247,756026.1641061342,
0000e4ad2f108d44f954,NGA,NGA.14_1,Nigeria,Enugu,,2038513.6214589442,802331.070100405,695616.9360855096,814377.4236224715,370519.59175487753,
000021ade234a37404fd,NGA,NGA.11_1,Nigeria,Ebonyi,,2580320.37327736,217835.6368883926,124081.99810934409,114523.0957506035,110121.06040060296,
00000edfd9a2dec946f5,NGA,NGA.23_1,Nigeria,Kogi,,2491334.1544678505,568912.8725249101,385312.30599546834,873512.2765328438,530412.0919757797,
0000b99916543198cba5,NGA,NGA.7_1,Nigeria,Benue,,4479598.145497614,431098.7141008372,473668.03925220395,547748.5873676081,301040.22037920257,
0000d615e344d505bdad,NGA,NGA.19_1,Nigeria,Kaduna,,4099981.4233628474,629401.119992199,837008.8399515898,1239193.2244997646,2180774.823007849,
000068e36c33a400b1bc,NGA,NGA.15_1,Nigeria,Federal Capital Territory,Abuja,483088.18277987116,180612.95668799666,254659.89518917596,602426.923704459,2002613.6855884807,
000079725cdea9eed340,NGA,NGA.26_1,Nigeria,Nassarawa,,1578065.9292603896,195068.4673737954,294767.63992612675,430286.24100160034,223930.6183944556,
000041ceb852bfc04df8,NGA,NGA.35_1,Nigeria,Taraba,,2717500.1596840494,115258.85285032765,127648.80511437934,177127.92185957442,182416.93277453497,
0000526b9b71ecf80b29,NGA,NGA.32_1,Nigeria,Plateau,,2984892.1297297385,271564.0011367944,355630.4778563757,535389.2556466099,522619.5413820346,
000063fe1d1a23b39d35,NGA,NGA.5_1,Nigeria,Bauchi,,5651397.611260516,306366.1712629132,318110.29421057017,396210.57648502267,325641.6364004845,
00002e1b6109afe4e5a6,CMR,CMR.6_1,Cameroon,Nord-Ouest,North-West,1832551.8200462193,159485.1351850631,178942.13273263306,161383.8407030954,52793.1002366326,
0000270f8a94f0b1bede,CMR,CMR.9_1,Cameroon,Sud-Ouest,South-West,958044.6552679647,95427.12755419282,174771.71134730705,418232.5735048122,257489.57550102638,
0000b8d8b4dafdd5cb20,NGA,NGA.9_1,Nigeria,Cross River,,2983997.3631644677,541045.8002823691,201080.31020021817,204177.15653786846,247479.44457582664,
000098adef4a4a4b4374,CMR,CMR.5_1,Cameroon,Littoral,Litoral,265187.27794720884,83635.28305515919,113783.06557263274,313008.3535926028,3363279.859432231,
00001a9f7acc9d636a36,CMR,CMR.8_1,Cameroon,Ouest,West,1304720.321101972,296325.87899674807,231207.51716139488,253105.4411004855,156937.6273426259,
000025e4597069f682cb,CMR,CMR.2_1,Cameroon,Centre,Central,898513.4872346668,147279.34403886905,161021.4003784524,262071.4155223257,3758289.362997085,
00001f45d6db090bbc04,CMR,CMR.10_1,Cameroon,Sud,South,511040.6990411862,99448.03850751444,99580.89419640049,165404.00886563232,81041.97663329181,
00006e537bac334198a5,GNQ,GNQ.3_1,Equatorial Guinea,Bioko Sur,,5098.509924068527,1147.5745809800533,3065.975091862179,8673.408772391858,9822.323631925938,
0000b7fdc0aaa2e865d2,GNQ,GNQ.2_1,Equatorial Guinea,Bioko Norte,,79.22459594086307,451.54642371542076,2550.415439603534,4273.867362201378,238197.1437497925,
00002773999585dc88f9,STP,STP.1_1,SÃ£o TomÃ© and PrÃ­ncipe,PrÃ­ncipe,,0.0,0.0,0.0,0.0,0.0,
00003df978464a208432,STP,STP.2_1,SÃ£o TomÃ© and PrÃ­ncipe,SÃ£o TomÃ©,,0.0,0.0,0.0,0.0,0.0,
00008a0fa9a54731760c,GNQ,GNQ.6_1,Equatorial Guinea,Litoral,,32518.5516304282,5704.751851655243,7938.631304127747,17012.633671452986,236854.7916856138,
00007786a6b8d88b1157,GNQ,GNQ.4_1,Equatorial Guinea,Centro Sur,,54511.14205018223,5553.754364684571,10192.758153612416,15137.082003876812,26921.815960638654,
0000ae383ea50e31a5ea,GNQ,GNQ.5_1,Equatorial Guinea,KiÃ©-Ntem,,100327.97602738655,3183.969622677222,5878.5131414732205,18484.31640916854,20294.323641363575,
00001be814d4348d6623,GNQ,GNQ.7_1,Equatorial Guinea,Wele-Nzas,,50725.6010961947,12410.34472115767,10729.724616863627,25631.073704925602,60495.90427314203,
0000eecc58c60e2bfd69,GAB,GAB.1_1,Gabon,Estuaire,,45622.3558145897,31240.325652097614,45366.242182117705,78186.41025943184,593002.0589968547,
00007604878cfa58acee,GAB,GAB.9_1,Gabon,Wouleu-Ntem,Woleu-Ntem,85580.1854598914,13613.88974621995,20570.363791828422,45777.023884210575,48958.419235252855,
0000f2b17ebd3fdc302b,GAB,GAB.3_1,Gabon,Moyen-OgoouÃ©,,29013.52485006562,6193.953300261748,8364.848340961766,16272.389122079672,14514.302506121967,
00007134e2b791339504,GAB,GAB.6_1,Gabon,OgoouÃ©-Ivindo,,24212.54595251634,6592.154665203753,9841.773557645003,22031.928977605414,6454.466470575453,
000013a1583ca0b59341,GAB,GAB.7_1,Gabon,OgoouÃ©-Lolo,,17938.875346793735,9677.481267426863,10986.84115218071,27629.18998179977,13860.47179750955,
000041c448437b95f5ec,GAB,GAB.2_1,Gabon,Haut-OgoouÃ©,,49249.50645166571,25531.541034715297,38587.92748362672,140827.0631491315,201239.47568597383,
0000063786ee96409859,COG,COG.12_1,Republic of Congo,Sangha,,51065.41701549753,2938.4923987176594,5985.7270238813,16887.320583058274,70278.96189318674,
00006b5c161efe44295d,CMR,CMR.3_1,Cameroon,Est,East,731944.2774211554,54528.82246739639,87392.02635639945,158304.18346549498,48039.13741734096,
000000ac1361b5268e55,CAF,CAF.8_1,Central African Republic,MambÃ©rÃ©-KadÃ©Ã¯,Haute-Sangha|MambÃ©rÃ© KadÃ©i,451933.02056914644,16675.108716658837,22131.81687098409,1750.6110360882567,439.9185238474312,
00000ee5809a36127e9b,CAF,CAF.16_1,Central African Republic,Sangha-MbaÃ©rÃ©,Sangha|Sangha-Ã‰conomique|Sangha M'baÃ©rÃ©,149206.26481325107,396.80879088201465,135.83202942524184,1200.9453153377615,15.93778834026254,
